task                                -   is it done?

add panel                           -   No
add a settings menu in a panel      -   No
add new game pane                   -   No
prepare asset pack boards           -   No

add boards from asset pack          -   No
add win and lose text                   Done (Needs to be improved)
add claim draw support              -   No
add promotion support               -   In the process...

add check piece highlight           -   Done
improve pieces highlights           -   No
add undo button                     -   In the process...
add white and black turn check      -   No

add white and black text            -   Done (Needs to be improved)
sort Board class methods            -   No
add board rotation support          -   Done
improve board and pieces rendering  -   No

add selection cancel functionality  -   Done
